cajas,ref,frei,pos,pol,W_sim,W_profe,Var_W,IC_low,IC_high,W_analitico_ref,clientes_completados,viol_rho,score_align_40,score_wait_50,score_comp_10,score_total_100,criterio_optimo
3,1,1,2,5,193.7272,2.3155,12631.6438,193.2388,194.2155,0.0,207.99,5,40.0,12.75,10.0,62.75,
3,1,5,1,2,183.9043,1.5481,11089.5653,183.4384,184.3703,0.0,310.83,5,40.0,17.25,10.0,67.25,
3,2,1,1,5,179.22,1.999,11493.2314,178.7571,179.683,0.0,240.82,5,40.0,19.39,10.0,69.39,
2,1,1,5,3,203.7044,2.5963,13258.1412,203.2118,204.1969,1.3636,185.52,4,40.0,8.18,10.0,58.18,
5,1,1,3,2,180.3215,2.3528,13867.8492,179.8201,180.8228,3.0,204.7,5,40.0,18.89,10.0,68.89,
1,5,2,1,3,215.7887,2.6154,13852.2335,215.2041,216.3733,1.1345,184.38,4,40.0,2.65,10.0,52.65,
5,1,1,2,3,182.3505,2.2863,13568.481,181.875,182.826,0.0,210.63,5,40.0,17.96,10.0,67.96,
5,1,2,1,3,186.1363,1.7428,12812.3395,185.6932,186.5794,0.0,276.04,5,40.0,16.22,10.0,66.22,
3,2,5,1,1,161.3158,1.2585,8605.9414,160.8617,161.77,0.0,382.14,5,40.0,27.59,10.0,77.59,MIN_W
1,2,3,1,5,213.1871,2.5637,13873.7523,212.5717,213.8024,0.0,188.19,5,40.0,3.84,10.0,53.84,
2,5,3,1,1,190.7907,1.799,11401.9474,190.3136,191.2677,1.1345,267.48,4,40.0,14.09,10.0,64.09,
3,5,1,1,2,179.941,2.1901,12129.5838,179.4395,180.4425,1.1345,219.89,4,40.0,19.06,10.0,69.06,
5,3,2,1,1,138.1087,1.442,10882.988,137.6383,138.5792,2.0769,333.64,5,40.0,38.21,10.0,88.21,
2,5,1,3,1,199.0165,2.7946,13269.3608,198.4411,199.5919,4.1345,172.5,3,40.0,10.33,10.0,60.33,
3,5,1,2,1,173.8374,2.1888,11337.5147,173.3329,174.3419,1.1345,220.06,4,40.0,21.85,10.0,71.85,
5,2,1,1,3,158.5328,1.8295,11479.282,158.0838,158.9818,0.0,263.1,5,40.0,28.86,10.0,78.86,
3,1,2,5,1,193.0708,2.1148,12548.3922,192.5781,193.5635,1.3636,227.63,4,40.0,13.05,10.0,63.05,
2,3,1,5,1,198.0549,2.8021,13310.435,197.4914,198.6184,3.4406,172.09,3,40.0,10.77,10.0,60.77,
1,5,3,2,1,214.0339,3.0331,14476.0064,213.3502,214.7175,1.1345,159.2,4,40.0,3.45,10.0,53.45,
2,1,1,3,5,201.6853,2.4603,12875.7089,201.1971,202.1734,3.0,195.79,4,40.0,9.11,10.0,59.11,
2,1,3,5,1,192.3555,1.8122,11380.6607,191.9069,192.804,1.3636,265.51,4,40.0,13.38,10.0,63.38,
1,5,3,1,2,215.7661,2.7273,14106.5573,215.1367,216.3954,1.1345,176.84,4,40.0,2.66,10.0,52.66,
5,1,3,2,1,177.0298,1.6424,11576.4829,176.5772,177.4824,0.0,292.92,5,40.0,20.39,10.0,70.39,
1,1,3,2,5,212.6567,2.5578,13890.8587,212.0456,213.2679,0.0,188.63,5,40.0,4.08,10.0,54.08,
3,2,1,5,1,173.5115,2.1763,11327.48,173.0001,174.0229,1.3636,221.38,4,40.0,22.0,10.0,72.0,
1,3,2,1,5,215.699,2.5901,13833.4352,215.109,216.2889,2.0769,186.19,4,40.0,2.69,10.0,52.69,
1,3,1,5,2,220.9344,3.5617,14955.1576,220.3499,221.519,3.4406,135.4,3,40.0,0.3,10.0,50.3,
2,1,5,3,1,189.2338,1.7506,11210.405,188.7434,189.7243,3.0,274.96,4,40.0,14.81,10.0,64.81,
3,1,1,5,2,197.0128,2.5572,13241.0817,196.5075,197.518,1.3636,188.38,4,40.0,11.25,10.0,61.25,
2,5,1,1,3,201.0158,2.5432,13184.0568,200.4919,201.5396,1.1345,189.43,4,40.0,9.41,10.0,59.41,
5,1,3,1,2,180.6373,1.5707,11844.6208,180.1972,181.0774,0.0,306.27,5,40.0,18.74,10.0,68.74,
1,3,5,1,2,214.9786,2.7189,14094.9588,214.3499,215.6074,2.0769,177.44,4,40.0,3.02,10.0,53.02,
1,3,5,2,1,213.7284,3.0182,14454.0449,213.0834,214.3735,2.0769,159.96,4,40.0,3.59,10.0,53.59,
